,Artist,Title,Weeks
0,Post Malone Featuring 21 Savage,Rockstar,8
1,Camila Cabello Featuring Young Thug,Havana,13
2,Cardi B,Bodak Yellow (Money Moves),19
3,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,28
4,Imagine Dragons,Thunder,28
5,Portugal. The Man,Feel It Still,21
6,Lil Pump,Gucci Gang,9
7,Demi Lovato,Sorry Not Sorry,18
8,J Balvin & Willy William Featuring Beyonce,Mi Gente,19
9,Sam Smith,Too Good At Goodbyes,9
10,Ed Sheeran,Perfect,11
11,Maroon 5 Featuring SZA,What Lovers Do,11
12,Yo Gotti Featuring Nicki Minaj,Rake It Up,19
13,"Migos, Nicki Minaj & Cardi B",MotorSport,2
14,Gucci Mane Featuring Migos,I Get The Bag,12
15,21 Savage,Bank Account,18
16,French Montana Featuring Swae Lee,Unforgettable,31
17,Charlie Puth,Attention,29
18,Taylor Swift,...Ready For It?,10
19,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,43
20,Imagine Dragons,Believer,40
21,P!nk,What About Us,14
22,Ed Sheeran,Shape Of You,44
23,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,9
24,Khalid,Young Dumb & Broke,17
25,Dua Lipa,New Rules,15
26,Halsey,Bad At Love,10
27,Liam Payne Featuring Quavo,Strip That Down,25
28,Post Malone,I Fall Apart,7
29,Shawn Mendes,There's Nothing Holdin' Me Back,29
30,Kesha,Praying,18
31,Niall Horan,Slow Hands,28
32,Bruno Mars,That's What I Like,43
33,Taylor Swift,Look What You Made Me Do,12
34,Selena Gomez X Marshmello,Wolves,3
35,Kane Brown Featuring Lauren Alaina,What Ifs,22
36,Luke Combs,When It Rains It Pours,15
37,DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,21
38,The Chainsmokers & Coldplay,Something Just Like This,38
39,Post Malone Featuring Quavo,Congratulations,46
40,Blackbear,Do Re Mi,22
41,Kendrick Lamar,Humble.,32
42,Lil Uzi Vert,XO TOUR Llif3,33
43,SZA,The Weekend,15
44,GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew,20
45,Charlie Puth,How Long,5
46,Kelly Clarkson,Love So Soft,9
47,Khalid,Location,43
48,Sam Hunt,Body Like A Back Road,41
49,Marshmello Featuring Khalid,Silence,13
50,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,9
51,Thomas Rhett,Unforgettable,15
52,LANCO,Greatest Love Story,10
53,A$AP Ferg,Plain Jane,7
54,Lil Uzi Vert Featuring Oh Wonder,The Way Life Goes,11
55,Kodak Black Featuring XXXTENTACION,Roll In Peace,12
56,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,2
57,Carly Pearce,Every Little Thing,15
58,Tay-K,The Race,14
59,Bebe Rexha & Florida Georgia Line,Meant To Be,3
60,NF,Let You Down,4
