,Artist,Compound_Score,Genre,Lyric,Mood,New_Score,Tempo,Title,Top_Word
0,Post Malone Featuring 21 Savage,0.9719,['Urban'],"Ay, I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar
Ay, ay, all my brothers got that gas
And they always be smokin' like a Rasta
Fuckin' with me, call up on a Uzi
And show up, man them the shottas
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta (pow, pow, pow)

Ay, ay, switch my whip, came back in black
I'm startin' sayin', ""Rest in peace to Bon Scott""
Ay, close that door, we blowin' smoke
She ask me light a fire like I'm Morrison
Ay, act a fool on stage
Prolly leave my fuckin' show in a cop car
Ay, shit was legendary
Threw a TV out the window of the Montage

Cocaine on the table, liquor pourin', don't give a damn
Dude, your girlfriend is a groupie, she just tryna get in
Sayin', ""I'm with the band""
Ay, ay, now she actin' outta pocket
Tryna grab up on my pants
Hundred bitches in my trailer say they ain't got a man
And they all brought a friend
Yeah, ay

Ay, ay, I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar
Ay, ay, all my brothers got that gas
And they always be smokin' like a Rasta
Fuckin' with me, call up on a Uzi
And show up, man them the shottas
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta (pow, pow, pow)

I've been in the Hills fuckin' superstars
Feelin' like a popstar (twenty one, twenty one, twenty one)
Drankin' Henny, bad bitches jumpin' in the pool
And they ain't got on no bra
Hit her from the back, pullin' on her tracks
And now she screamin' out, ""no más"" (yeah, yeah, yeah)
They like ""Savage, why you got a twelve car garage
And you only got six cars?"" (twenty one)

I ain't with the cakin', how you kiss that? (kiss that?)
Your wifey say I'm lookin' like a whole snack (big snack)
Green hundreds in my safe, I got old racks (old racks)
L.A. bitches always askin', ""Where the coke at?"" (twenty one, twenty one)

Livin' like a rockstar, smash out on a cop car
Sweeter than a Pop-Tart, you know you are not hard
I done made the hot chart, 'member I used to trap hard
Livin' like a rockstar, I'm livin' like a rockstar

Ay, I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar
Ay, ay, all my brothers got that gas
And they always be smokin' like a Rasta (yeah, yeah, yeah, yeah)
Fuckin' with me, call up on a Uzi
And show up, man them the shottas
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta

Star, star, rockstar, rockstar, star
Rockstar
Rockstar, feel just like a rock...
Rockstar
Rockstar
Rockstar
Feel just like a...",['Sensual'],98.6,['Slow Tempo'],Rockstar,"[('like', 15), ('rockstar', 13), ('yeah', 8)]"
1,Camila Cabello Featuring Young Thug,0.9514,['Urban'],"Hey

Havana, ooh na-na (ay)
Half of my heart is in Havana, ooh-na-na (ay, ay)
He took me back to East Atlanta, na-na-na
All of my heart is in Havana (ay)
There's somethin' 'bout his manners (uh huh)
Havana, ooh na-na

He didn't walk up with that ""how you doin'?""
(When he came in the room)
He said there's a lot of girls I can do with
(But I can't without you)
I'm doin' forever in a minute
(That summer night in June)
And papa says he got malo in him
He got me feelin' like

Ooh-ooh-ooh, I knew it when I met him
I loved him when I left him
Got me feelin' like
Ooh-ooh-ooh, and then I had to tell him
I had to go, oh na-na-na-na-na

Havana, ooh na-na (ay)
Half of my heart is in Havana, ooh-na-na (ay, ay)
He took me back to East Atlanta, na-na-na (uh huh)
All of my heart is in Havana (ay)
My heart is in Havana
Havana, ooh na-na

Jeffery
Just graduated, fresh on campus, mmm
Fresh out East Atlanta with no manners, damn
Fresh out East Atlanta
Bump on her bumper like a traffic jam (jam)
Hey, I was quick to pay that girl like Uncle Sam (here you go, ay)
Back it on me, shawty cravin' on me
Get to diggin' on me (on me)
She waited on me (then what?)
Shawty cakin' on me, got the bacon on me (wait up)
This is history in the makin' on me (on me)
Point blank, close range, that be
If it cost a million, that's me (that's me)
I was gettin' mula, man they feel me

Havana, ooh na-na (ay, ay)
Half of my heart is in Havana, ooh-na-na (oh, ay, ay)
He took me back to East Atlanta, na-na-na (oh no)
All of my heart is in Havana (ay)
My heart is in Havana (ay)
Havana, ooh na-na

Ooh na-na, oh na-na-na
Take me back, back, back like
Ooh na-na, oh na-na-na
Take me back, back, back like
Ooh na-na, oh na-na-na
Take me back, back, back like
Ooh na-na, oh na-na-na
Take me back, back, back
Yeah, ay
Ooh-ooh-ooh
Ooh-ooh-ooh
Take me back to my Havana...

Havana, ooh na-na (ay, ay)
Half of my heart is in Havana, ooh-na-na (oh, yeah)
He took me back to East Atlanta, na-na-na
All of my heart is in Havana
My heart is in Havana (ay)
Havana, ooh na-na

Uh huh
Oh na-na-na
Oh na-na-na (hey)
Oh na-na-na
No, no, no, take me back
Oh na-na-na
Havana, ooh na-na",['Cool'],97.58,['Medium Tempo'],Havana,"[('ooh', 29), ('havana', 21), ('back', 19)]"
2,Cardi B,0.8637,['Urban'],"KSR (ooh)
Hah, it's Cardi, ay
Said, ""I'm the shit, wanna fuck with me if they wanted to""
Umm damn

Said, ""Lil bitch, you can't fuck with me if you wanted to"" (ooh)
These expensive, these is red bottoms, these is bloody shoes (ooh)
Hit the store, I can get 'em both, I don't wanna choose (bah)
And I'm quick, cut a nigga off, so don't get comfortable, look (ooh)

I don't dance now, I make money moves (wave, ay)
Say I don't gotta dance, I make money move (ooh, ooh)
If I see you and I don't speak, that means I don't fuck with you (ah)
I'm a boss, you a worker, bitch, I make bloody moves (bags)

Now she say she gon' do what to who? Let's find out and see
Cardi B, you know where I'm at, you know where I be (ooh, ooh)
You in the club just to party, I'm there, I get paid a fee (bah)
I be in and out them banks so much
I know they're tired of me (ooh)
Honestly, don't give a fuck 'bout who ain't fond of me (who)
Dropped two mixtapes in six months
What bitch working as hard as me? (ooh)
I don't bother with these hoes
Don't let these hoes bother me (yeah)
They see pictures, they say, ""Goals""
Bitch, I'm who they tryna be (blah)
Look, I might just chill in some BAPE (ooh)
I might just chill with your boo
I might just feel on your babe, my pussy feel like a lake
He wanna swim with his face, I'm like, ""Okay"" (okay)
I'll let him did what he want, he buy me Yves Saint Laurent (yeah)
And the new whip, when I go fast as a horse
I got the trunk in the front (vroom)
I'm the hottest in the street, know you prolly heard of me
Got a bag and fixed my teeth, hope you hoes know it ain't cheap
And I pay my mama bills, I ain't got no time to chill
Think these hoes be mad at me, their baby father want a feel (ooh)

Said, ""Lil bitch, you can't fuck with me if you wanted to"" (ooh)
These expensive, these is red bottoms, these is bloody shoes (ooh)
Hit the store, I can get 'em both, I don't wanna choose (bah)
And I'm quick, cut a nigga off, so don't get comfortable, look (ooh)

I don't dance now, I make money moves (wave, ay)
Say I don't gotta dance, I make money move (ooh, ooh)
If I see you and I don't speak, that means I don't fuck with you (ah)
I'm a boss, you a worker, bitch, I make bloody moves (bags, bags)

If you a pussy, you get popped (popped, popped)
You a groupie, you a opp (opp, blah)
Don't you come around my way (yeah)
You can't hang around my block (nope)
And I just checked my accounts
Turns out, I'm rich, I'm rich, I'm rich (I'm rich)
I put my hand above my hip, I bet you dip, he dip, she dip (grrrah)
I say I get the money and go (yeah)
This shit is hot like a stove (ooh)
My pussy glitter as gold, tell that lil bitch play her role (ah, ah)
I just a-rove in a Rolls (oh)
I just came up in a Wraith (yeah)
I need to fill up the tank, no, I need to fill up the safe (ooh)
I need to let all these hoes know that none of their niggas is safe
I go to dinner and steak (blah, yeah)
Only the real can relate (yeah)
I used to live in the P's (ooh, ooh)
Now it's a crib with a gate (ah)
Rollie got charms, look like Frosted Flakes (bling)
I had to let these bitches know (yeah)
Just in case these hoes forgot (oh)
I just run and check the mail, another check from Mona Scott (oh)

Said, ""Lil bitch, you can't fuck with me if you wanted to"" (ooh)
These expensive, these is red bottoms, these is bloody shoes (ooh)
Hit the store, I can get 'em both, I don't wanna choose (bah)
And I'm quick, cut a nigga off, so don't get comfortable, look (ooh)

I don't dance now, I make money moves (wave, ay)
Say I don't gotta dance, I make money move (ooh, ooh)
If I see you and I don't speak, that means I don't fuck with you (ah)
I'm a boss, you a worker, bitch, I make bloody moves (bags)",['Defiant'],93.19,['Medium Tempo'],Bodak Yellow (Money Moves),"[('ooh', 26), ('don', 22), ('just', 9)]"
3,Logic Featuring Alessia Cara & Khalid,-0.9888,['Urban'],"I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine
(Who can relate?)
I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine

I don't wanna be alive
I don't wanna be alive
I just wanna die today
I just wanna die
I don't wanna be alive
I don't wanna be alive
I just wanna die
And let me tell you why

All this other shit I'm talkin' 'bout they think they know it
I've been praying for somebody to save me, no one's heroic
And my life don't even matter
I know it, I know it, I know I'm hurting deep down but can't show it
I never had a place to call my own
I never had a home
Ain't nobody callin' my phone
Where you been? Where you at? What's on your mind?
They say every life precious but nobody care about mine

I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine
(Who can relate?)
I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine

I want you to be alive
I want you to be alive
You don't gotta die today
You don't gotta die
I want you to be alive
I want you to be alive
You don't gotta die
Now lemme tell you why

It's the very first breath
When your head's been drowning under water
And it's the light that's in the air
When you're there chest-to-chest with a lover
It's holding on though the roads long
Seeing light in the dark, yeah, these things
And when you stare at your reflection
Finding hope in who it is
I know that you'll thank God you did

I know where you been, where you are, where you going
I know you're the reason I believe in life
What's the day without a little night?
I'm just tryna shed a little light
It can be hard
It can be so hard
But you gotta live right now
You got everything to give right now

I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine
(Who can relate?)
I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine

I finally wanna be alive
I finally wanna be alive
I don't wanna die today
I don't wanna die
I finally wanna be alive
I finally wanna be alive
I don't wanna die
I don't wanna die

Pain don't hurt the same, I know
The lane I travel feels alone
But I'm moving 'til my legs give out
And I see my tears melt in the snow
But I don't wanna cry
I don't wanna cry anymore
I wanna feel alive
I don't even wanna die anymore
Oh I don't wanna
I don't wanna
I don't even wanna die anymore",['Sophisticated'],0.55,['Medium Tempo'],1-800-273-8255,"[('wanna', 22), ('don', 19), ('alive', 13)]"
4,Imagine Dragons,0.7176,['Alternative & Punk'],"Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things and
Wanna leave my own life behind

Not a yes sir, not a follower
Fit the box, fit the mold
Have a seat in the foyer, take a number
I was lightning before the thunder

Thunder, thunder
Thunder, thun-, thunder
Thun-thun-thunder, thunder, thunder
Thunder, thun-, thunder
Thun-thun-thunder, thunder

Thunder, feel the thunder
Lightning and the thunder
Thunder, feel the thunder
Lightning and the thunder
Thunder, thunder
Thunder

Kids were laughing in my classes
While I was scheming for the masses
Who do you think you are?
Dreaming 'bout being a big star

You say you're basic, you say you're easy
You're always riding in the backseat
Now I'm smiling from the stage while
You were clapping in the nose bleeds

Thunder, thunder
Thunder, thun-, thunder
Thun-thun-thunder, thunder, thunder
Thunder, thun-, thunder
Thun-thun-thunder, thunder

Thunder, feel the thunder
Lightning and the thunder
Thunder, feel the thunder
Lightning and the thunder
Thunder

Thunder, feel the thunder
Lightning and the thunder, thunder

Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder (feel the)
Lightning and the thunder, thunder

Thunder, thunder, thunder
Thun-thun-thunder, thunder
Thunder, thunder, thunder
Thun-thun-thunder, thunder
Thunder, thunder, thunder
Thun-thun-thunder, thunder
Thunder, thunder, thunder
Thun-thun-thunder, thunder",[],85.89,[],Thunder,"[('thunder', 79), ('thun', 20), ('feel', 10)]"
5,Portugal. The Man,0.7762,['Alternative & Punk'],"Can't keep my hands to myself
Think I'll dust 'em off, put 'em back up on the shelf
In case my little baby girl is in need
Am I coming out of left field?

Ooh, I'm a rebel just for kicks, now
I been feeling it since 1966, now
Might be over now, but I feel it still
Ooh, I'm a rebel just for kicks, now
Let me kick it like it's 1986, now
Might be over now, but I feel it still

Got another mouth to feed
Leave her with a baby sitter, mama, call the grave digger
Gone with the fallen leaves
Am I coming out of left field?

Ooh, I'm a rebel just for kicks, now
I been feeling it since 1966, now
Mighta had your fill, but you feel it still
Ooh, I'm a rebel just for kicks, now
Let me kick it like it's 1986, now
Might be over now, but I feel it still

We could fight a war for peace
(Ooh, I'm a rebel just for kicks, now)
Give in to that easy living
Goodbye to my hopes and dreams
Stop flipping for my enemies

We could wave until the walls come down
(Ooh, I'm a rebel just for kicks, now)
It's time to give a little tip
Kids in the middle, move over till it falls
Don't bother me

Is it coming?
Is it coming?
Is it coming?
Is it coming?
Is it coming?
Is it coming back?

Ooh, I'm a rebel just for kicks, yeah
Your love is an abyss for my heart to eclipse, now
Might be over now, but I feel it still

Ooh, I'm a rebel just for kicks, now
I've been feeling it since 1966, now
Might be over now, but I feel it still
Ooh, I'm a rebel just for kicks, now
Let me kick it like it's 1986, now
Might be over now, but I feel it still
Mighta had your fill, but you feel it still",['Cool'],88.82,['Medium Tempo'],Feel It Still,"[('now', 21), ('kicks', 9), ('just', 9)]"
6,Lil Pump,-0.9915,['Urban'],"Yo, ooh, brr, brr
Gucci gang, ooh
Yo, Lil Pump, yo
Gucci gang, ooh
Ooh, Bi-Big Head on the beat
Yo, brr

Gucci gang, Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (yo)
My bih love do cocaine, ooh (ooh)
I fuck a bitch, I forgot her name (brr, yuh)
I can't buy a bih no wedding ring (ooh)
Rather go and buy Balmains (brr)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (huh?)
My bih love do cocaine, ooh (brr)
I fuck a bitch, I forgot her name, yuh (yuh, yuh)
I can't buy no bih no wedding ring, ooh (nope)
Rather go and buy Balmains, ay (brr)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)

My lean cost more than your rent, ooh (it do)
Your momma still live in a tent, yuh (brr)
Still slangin' dope in the jects, huh? (yeah)
Me and my grandma take meds, ooh (huh?)
None of this shit be new to me (nope)
Fuckin' my teacher, call it tutory (yo)
Bought some red bottoms, cost hella Gs (huh?)
Fuck your airline, fuck your company (fuck it!)
Bitch, your breath smell like some cigarettes (cigarettes)
I'd rather fuck a bitch from the projects (yo)
They kicked me out the plane off a percocet (brr)
Now Lil Pump flyin' private jet (yo)
Everybody scream, ""Fuck WestJet"" (fuck 'em)
Lil Pump still sell that meth (yo)
Hunnid on my wrist, sippin' on Tech (brr)
Fuck a lil bitch, make her pussy wet (what?)

Gucci gang, Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (huh?)
My bih love do cocaine, ooh (yo)
I fuck a bitch, I forgot her name (brr)
I can't buy a bih no wedding ring (huh?)
Rather go and buy Balmains (yo)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang, Gucci gang
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (huh?)
My bih love do cocaine, ooh (brr)
I fuck a bitch, I forgot her name, yuh (yo)
I can't buy no bih no wedding ring, ooh (nope)
Rather go and buy Balmains, ay (huh?)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)

Lil Pump, yuh
Lil Pump, ooh",['Cool'],0.41,['Medium Tempo'],Gucci Gang,"[('gang', 53), ('gucci', 53), ('ooh', 15)]"
7,Demi Lovato,-0.9839,['Pop'],"Payback is a bad bitch
And baby, I'm the baddest (I'm the baddest, I'm the baddest)

Now I'm out here looking like revenge
Feelin' like a ten, the best I've ever been
And yeah I know, how bad it must hurt
To see me like this, but it gets worse (wait a minute)
Now you're out here looking like regret
Ain't too proud to beg, second chance you'll never get
And yeah I know, how bad it must hurt to see me like this
But it gets worse (wait a minute)

Now payback is a bad bitch
And baby, I'm the baddest
You fuckin' with a savage
Can't have this, can't have this (ah)
And it'd be nice of me to take it easy on ya, but nah

Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Being so bad got me feelin' so good
Showing you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Feeling inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns

Baby, fineness is the way to kill
Tell me how it feel, bet it's such a bitter pill
And yeah I know, you thought you had bigger, better things
Bet right now this stings (wait a minute)
'Cause the grass is greener under me
Bright as Technicolor, I can tell that you can see
And yeah I know, how bad it must hurt to see me like this
But it gets worse (wait a minute)

Now payback is a bad bitch
And baby, I'm the baddest
You fuckin' with a savage
Can't have this, can't have this (ah)
And it'd be nice of me to take it easy on ya, but nah

Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Being so bad got me feelin' so good
Showing you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Feeling inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns

Talk that talk, baby
Better walk, better walk that walk, baby
If you talk, if you talk that talk, baby
Better walk, better walk that walk, baby
Oh yeah, talk that talk, baby
Better walk, better walk, that walk, baby
If you talk, if you talk that talk, baby
Better walk, better walk that walk, baby

Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Being so bad got me feelin' so good
Showing you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Feeling inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns

Payback is a bad bitch
And baby, I'm the baddest
I'm the baddest, I'm the baddest",['Energizing'],0.79,['Fast Tempo'],Sorry Not Sorry,"[('baby', 25), ('sorry', 24), ('walk', 12)]"
8,J Balvin & Willy William Featuring Beyonce,0.9281,['Other'],"Ya empezamos cómo es
Mi música no discrimina a nadie
Así que vamos a romper

Toda mi gente se mueve
Mira el ritmo cómo los tiene
Hago música que entretiene
El mundo nos quiere, nos quiere
Y me quiere a mí

Toda mi gente se mueve
Mira el ritmo cómo los tiene
Hago música que entretiene
Mi música los tiene fuerte bailando
Y se baila así

Tamo' rompiendo la discoteca
La fiesta no para, apenas comienza
C'est comme-ci, c'est comme-ça
Ma chèrie, la la la la la
Francia, Colombia
Me gusta (Freeze)
J Balvin, Willy William
Me gusta (Freeze)
Los DJ's no mienten, le gusta a mi gente
Y eso se fue mundial (Freeze)
No le bajamos, más nunca paramos
Es otro palo y ¡Blam!

¿Y dónde está mi gente?
Mais fais bouger la tête
¿Y dónde está mi gente?
Say yeah, yeah, yeah
Un, dos, tres, leggo'
(Ay di que sí)

Esquina a esquina, de ahí no' vamo'
El mundo es grande pero lo tengo en mi' manos
Estoy muy duro, sí, okay, ahí vamos
Y con el tiempo nos seguimos elevando

Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Los tengo bailando, rompiendo y yo sigo aquí

Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Los tengo bailando, rompiendo y yo sigo aquí

¿Y dónde está mi gente?
Mais fais bouger la tête
¿Y dónde está mi gente?
Say yeah, yeah, yeah
Un, dos, tres, leggo'
(Ay di que sí)

Worldwide
Willy William
J Balvin, man",['Cool'],96.41,['Medium Tempo'],Mi Gente,"[('gente', 7), ('que', 7), ('yeah', 6)]"
9,Sam Smith,-0.9292,['Urban'],"You must think that I'm stupid
You must think that I'm a fool
You must think that I'm new to this
But I have seen this all before

I'm never gonna let you close to me
Even though you mean the most to me
'Cause every time I open up, it hurts
So I'm never gonna get too close to you
Even when I mean the most to you
In case you go and leave me in the dirt

Every time you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less I love you
Baby, we don't stand a chance, it's sad but it's true

I'm way too good at goodbyes
(I'm way too good at goodbyes)
I'm way too good at goodbyes
(I'm way too good at goodbyes)
No way that you'll see me cry
(No way that you'll see me cry)
I'm way to good at goodbyes
(I'm way to good at goodbyes)

I know you're thinking I'm heartless
I know you're thinking I'm cold
I'm just protecting my innocence
I'm just protecting my soul

I'm never gonna let you close to me
Even though you mean the most to me
'Cause every time I open up, it hurts
So I'm never gonna get too close to you
Even when I mean the most to you
In case you go and leave me in the dirt

Every time you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less I love you
Baby, we don't stand a chance, it's sad but it's true

I'm way to good at goodbyes
(I'm way to good at goodbyes)
I'm way too good at goodbyes
(I'm way too good at goodbyes)
No way that you'll see me cry
(No way that you'll see me cry)

No way that you'll see me cry
(No way that you'll see me cry)
I'm way too good at goodbyes
(I'm way to good at goodbyes)
No
No, no, no, no, no
(I'm way too good at goodbyes)
No, no, no, no
No, no, no
(I'm way too good at goodbyes)
(No way that you'll see me cry)
(I'm way too good at goodbyes)

'Cause overtime you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less I love you
Baby, we don't stand a chance, it's sad but it's true
I'm way too good at goodbyes",[],3.53,[],Too Good At Goodbyes,"[('way', 23), ('goodbyes', 16), ('good', 16)]"
