,Compound_Score
0,0.9719
1,0.9514
2,0.8637
3,-0.9888
4,0.7176
5,0.7762
6,-0.9915
7,-0.9839
8,0.9281
9,-0.9292
10,0.9973
11,0.999
12,-0.9995
13,-0.9887
14,0.5812
15,-0.7978
16,-0.264
17,0.891
18,-0.9908
19,0.9911
20,0.9993
21,-0.9991
22,-0.9985
23,0.2969
24,0.9879
25,0.9994
26,-0.9839
27,-0.6834
28,0.9982
29,-0.8891
30,0.9984
31,-0.9543
32,0.9773
33,0.9676
34,0.9466
35,0.9935
36,0.9687
37,0.3652
38,-0.9975
39,-0.9726
40,0.9835
41,0.9917
42,0.9992
43,0.8657
44,0.9946
45,-0.9488
46,0.9886
47,0.9973
48,-0.994
49,-0.994
50,-0.9725
51,-0.8485
52,0.9971
53,0.8652
54,0.8853
55,0.9983
56,0.9889
57,0.995
58,0.9317
59,0.9876
60,-0.994
61,0.9956
62,-0.9942
63,0.9965
64,0.9832
65,0.9984
66,0.9966
67,-0.1027
68,-0.9677
69,0.9178
70,0.705
71,0.9994
72,-0.9839
73,0.9925
74,-0.5886
75,-0.9913
76,0.8708
77,0.986
78,0.9941
79,0.9967
80,-0.9473
81,-0.9469
82,-0.9893
83,0.9699
84,-0.8275
85,-0.4423
86,-0.9922
87,0.9941
88,0.9987
89,-0.9903
90,0.9907
91,-0.9537
92,0.9886
93,-0.9906
94,-0.9255
95,0.9927
96,-0.9858
97,0.8803
98,-0.9981
99,-0.954
100,-0.9663
101,0.9427
102,-0.9996
103,0.9969
104,0.9998
105,-0.9889
106,0.9943
107,-0.9969
108,0.9947
109,0.9567
110,0.9976
111,-0.9993
112,0.9993
113,0.9895
114,0.9987
115,0.7227
116,0.9977
117,0.7952
118,0.9909
119,0.9983
120,0.9995
121,0.8442
122,-0.9987
123,0.9861
124,-0.9984
125,0.9552
126,0.9498
127,0.9932
128,0.972
129,-0.9993
130,0.9972
131,-0.9713
132,0.9831
133,-0.5994
134,0.9845
135,0.9971
136,0.9923
137,0.4199
138,0.8784
139,0.9924
140,0.9195
141,0.999
142,0.9818
143,-0.9413
144,-0.9451
145,-0.9971
146,0.8692
147,-0.9901
148,0.9628
149,-0.7673
150,0.9802
151,0.9727
152,-0.998
153,0.9915
154,0.9687
155,0.9914
156,0.981
157,0.9734
158,0.9879
159,0.9972
160,0.9972
161,0.5765
162,-0.2937
163,-0.9961
164,0.9241
165,-0.9128
166,-0.9629
167,0.9948
168,-0.8729
169,0.9953
170,-0.4471
171,0.8683
172,0.9898
173,0.9846
174,0.9232
175,-0.9225
176,-0.9932
177,0.9896
178,-0.9834
179,0.9944
180,0.9058
181,-0.7579
182,0.9811
183,0.9911
184,0.9997
185,-0.9445
186,0.9796
187,0.8803
188,0.9979
189,-0.9183
190,0.9932
191,-0.8414
192,0.949
193,0.9552
194,-0.7691
195,0.9349
196,0.9862
197,-0.9523
198,-0.9977
199,0.7564
200,0.9987
201,0.8899
202,0.9863
203,-0.9997
204,-0.9991
205,0.9972
206,0.9861
207,-0.6977
208,0.9953
209,0.9738
210,0.9991
211,0.9944
212,0.9369
213,-0.9378
214,0.9885
215,0.9418
216,0.9952
217,0.8945
218,0.9938
219,-0.8225
220,-0.9992
221,0.9921
222,0.9873
223,-0.8618
224,0.1471
225,0.9561
226,0.8414
227,0.9887
228,0.9663
229,0.8958
230,0.9536
231,-0.9327
232,-0.5565
233,0.9701
234,0.9977
235,0.9877
236,0.9834
237,0.9022
238,0.9995
239,0.976
240,-0.8735
241,0.9989
242,-0.882
243,0.9916
244,0.9994
245,0.9281
246,-0.9777
247,0.9983
248,0.9711
249,0.9927
250,0.9996
251,0.992
252,-0.9615
253,0.9933
254,-0.9952
255,0.3815
256,-0.5033
257,0.8007
258,0.9926
259,0.534
260,0.9918
261,0.9909
262,0.9942
263,-0.5685
264,0.5595
265,0.9918
266,0.9972
267,0.8648
268,-0.9474
269,0.9995
270,-0.2946
271,0.9988
272,-0.3156
273,-0.9994
274,-0.9984
275,-0.8197
276,0.5417
277,-0.9991
278,-0.9443
279,-0.9763
280,0.9702
281,0.9971
282,-0.9168
283,-0.9728
284,0.9707
285,-0.485
286,0.9691
287,0.9886
288,0.9873
289,0.9959
290,0.9968
291,0.9778
292,0.9846
293,0.9856
294,0.9987
295,0.8803
296,0.9983
297,-0.9378
298,0.8735
299,0.9783
300,0.9812
301,0.9895
302,0.9977
303,-0.9809
304,0.6039
305,-0.9974
306,-0.9964
307,-0.9959
308,-0.9982
309,-0.9966
310,-0.9628
311,0.9781
312,0.9661
313,-0.6199
314,0.9844
315,-0.9975
316,0.9765
317,0.9282
318,0.9849
319,0.2628
320,0.9917
321,-0.9929
322,0.6795
323,0.9951
324,-0.9766
325,0.9821
326,-0.9716
327,-0.3711
328,0.872
329,0.9933
330,0.9471
331,0.9789
332,0.9895
333,-0.6954
334,-0.9723
335,0.993
336,0.5459
337,-0.8327
338,-0.7249
339,0.967
340,0.9842
341,-0.3802
342,-0.7304
343,0.9979
344,0.9727
345,0.9868
346,-0.8799
347,0.9993
348,-0.9586
349,0.5417
350,-0.967
351,0.9646
352,-0.9939
353,-0.8191
