,Top_Three_Words
0,"[('like', 15), ('rockstar', 13), ('yeah', 8)]"
1,"[('ooh', 29), ('havana', 21), ('back', 19)]"
2,"[('ooh', 26), ('don', 22), ('just', 9)]"
3,"[('wanna', 22), ('don', 19), ('alive', 13)]"
4,"[('thunder', 79), ('thun', 20), ('feel', 10)]"
5,"[('now', 21), ('kicks', 9), ('just', 9)]"
6,"[('gang', 53), ('gucci', 53), ('ooh', 15)]"
7,"[('baby', 25), ('sorry', 24), ('walk', 12)]"
8,"[('gente', 7), ('que', 7), ('yeah', 6)]"
9,"[('way', 23), ('goodbyes', 16), ('good', 16)]"
10,"[('just', 5), ('darling', 5), ('love', 5)]"
11,"[('ooh', 41), ('lucky', 12), ('love', 12)]"
12,"[('fuck', 55), ('rake', 39), ('back', 35)]"
13,"[('bag', 15), ('baby', 12), ('yeah', 12)]"
14,"[('yeah', 46), ('god', 35), ('gun', 18)]"
15,"[('nobody', 9), ('like', 8), ('gonna', 7)]"
16,"[('doin', 20), ('just', 14), ('knew', 13)]"
17,"[('que', 22), ('poquito', 12), ('pasito', 12)]"
18,"[('believer', 18), ('pain', 13), ('made', 12)]"
19,"[('ready', 7), ('trust', 5), ('love', 5)]"
20,"[('come', 37), ('love', 25), ('body', 17)]"
21,"[('fuck', 19), ('safe', 18), ('ain', 17)]"
22,"[('young', 38), ('dumb', 29), ('broke', 18)]"
23,"[('don', 33), ('new', 13), ('got', 13)]"
24,"[('ooh', 22), ('know', 13), ('love', 10)]"
25,"[('yeah', 60), ('strip', 21), ('love', 18)]"
26,"[('ooh', 11), ('keep', 8), ('yeah', 8)]"
27,"[('back', 12), ('holding', 12), ('nothing', 12)]"
28,"[('praying', 9), ('hope', 9), ('changing', 6)]"
29,"[('slow', 14), ('hands', 10), ('yeah', 10)]"
30,"[('like', 24), ('lucky', 12), ('want', 8)]"
31,"[('made', 35), ('look', 34), ('just', 16)]"
32,"[('just', 6), ('one', 6), ('made', 6)]"
33,"[('pours', 6), ('rains', 6), ('won', 5)]"
34,"[('wild', 53), ('get', 12), ('thoughts', 11)]"
35,"[('doo', 68), ('something', 16), ('just', 16)]"
36,"[('yeah', 23), ('made', 7), ('say', 7)]"
37,"[('done', 9), ('fucking', 9), ('send', 8)]"
38,"[('hol', 64), ('bitch', 40), ('sit', 23)]"
39,"[('dead', 10), ('friends', 10), ('edge', 10)]"
40,"[('man', 16), ('weekend', 8), ('got', 7)]"
41,"[('ooh', 21), ('baby', 14), ('goin', 10)]"
42,"[('love', 28), ('soft', 21), ('let', 21)]"
43,"[('don', 10), ('need', 10), ('ride', 9)]"
44,"[('like', 12), ('back', 9), ('can', 5)]"
45,"[('long', 10), ('quiet', 8), ('one', 7)]"
46,"[('like', 8), ('just', 6), ('night', 5)]"
47,"[('gonna', 9), ('went', 5), ('seen', 4)]"
48,"[('nigga', 9), ('somethin', 8), ('dick', 8)]"
49,"[('get', 17), ('know', 13), ('swear', 7)]"
50,"[('thing', 14), ('little', 14), ('every', 14)]"
